Abbotsdale Satellite Clinic,"Malmesbury, Swartland"
Adriaanse Street Clinic,"Clarke Estate, Cape Town"
Albertinia Clinic,"Albertinia, Langeberg"
Albow Gardens Clinic,"Table View, Cape Town"
Alma Clinic,"Mossel Bay , Eden"
Alphen Clinic,"Constantia, Cape Town"
Amalienstein Clinic,"Zoar, Kannaland"
Annie Brown Clinic,"Ceres, Witzenberg"
Aurora Municipality Satellite Clinic,"Piketberg, Bergrivier"
Barrydale Clinic,"Barrydale, Swellendam"
Beaufort West Constitution Street Clinic,"Beaufort West, Central Karoo"
Beaufort West Hospital Community Health Clinic,"Beaufort West, Central Karoo"
Bella Vista Clinic,"Ceres, Witzenberg"
Bellville Community Health Clinic/Clinic,"Bellville, Cape Town"
Bergsig Clinic,"Robertson, Breede River Winelands"
Bird Street Clinic,"Paarl, Drakenstein"
Bishop Lavis Clinic,"Bishop Lavis, Cape Town"
Bishop Lavis Community Health Clinic,"Bishop Lavis, Cape Town"
Bitterfontein Municipality Satellite Clinic,"Bitterfontein, WCDMA01"
Blanco Clinic,"George, Eden"
Bloekombos Clinic,"Kraaifontein, Cape Town"
Boland Bank Community Health Clinic,"The Strand, Cape Town"
Bongolethu Community Health Clinic,"Bhongolethu, Oudtshoorn"
Bothasig Clinic,"Bothasig, Cape Town"
Botrivier Clinic,"Bot River, Theewaterskloof"
Brackenfell Clinic,"Brackenfell, Cape Town"
Brandwacht Clinic,"Brandwacht (Mossel Bay), Mossel Bay"
Bredasdorp Community Health Clinic,"Bredasdorp, Cape Agulhas"
Breerivier Clinic,"Worcester, Breede Valley"
Bridgeton Community Health Clinic,"Oudtshoorn, Eden"
Brighton Clinic,"Kraaifontein, Cape Town"
Brown's Farm Community Health Clinic,"Phillipi, Cape Town"
Buffeljagsrivier Clinic,"Swellendam, Overberg"
Burger Street Satellite Clinic,"Wellington, Drakenstein"
Caledon Community Health Clinic,"Caledon, Theewaterskloof"
Calitzdorp Clinic,"Calitzdorp, Kannaland"
Camelot and Silversands Satellite Clinic,"Malibu Village, Cape Town"
Chapel Street Clinic,"Woodstock, Cape Town"
Chatsworth Satellite Clinic,"Malmesbury, Swartland"
Chestnut Clinic,"Belhar, Cape Town"
Citrusdal Clinic and Satellite,"Citrusdal, Cederberg"
Civic Centre Clinic,"Cape Town, Western Cape"
Clanwilliam Clinic,"Clanwilliam, Cederberg"
Claremont Clinic,"Claremont, Cape Town"
Cloetesville Community Health Clinic,"Stellenbosch, Boland"
Cogmanskloof Clinic,"Ashton, Breede River Winelands"
Conville Community Health Clinic,"George, Eden"
Crags Clinic,"Bitou, Eden"
Crossroads 1 Clinic,"Crossroads, Cape Town"
Crossroads 2 Clinic,"Crossroads, Cape Town"
Crossroads Community Health Clinic,"Crossroads, Cape Town"
D'Almeida Clinic,"Mossel Bay , Eden"
Dal Josaphat Clinic,"Paarl, Drakenstein"
Dalevale Clinic,"Paarl, Drakenstein"
Darling Clinic,"Darling, Swartland"
De Doorns Clinic,"De Doorns, Breede Valley"
De Rust (Blommenek) Clinic,"De Rust, Oudtshoorn"
De Wet/Nuy/Overhex Clinic,"Worcester, Breede Valley"
Delft Community Health Clinic,"Delft, Cape Town"
Dennemere Clinic,"Dennemere, Cape Town"
Diazville Clinic,"Saldanha, Saldanha Bay"
Diep River Clinic,"Diep River, Cape Town"
Dirkie Uys Community Health Clinic,"Goodwood, Cape Town"
Dr. Abdurahman Community Health Clinic,"Athlone, Cape Town"
Driftsands Mobile Clinic,"Driftsands, Cape Town"
Durbanville Clinic (Morning Star Community Health Clinic),"Durbanville, Cape Town"
Dysselsdorp Community Health Clinic,"Dysselsdorp, Oudtshoorn"
Eastridge Clinic,"Mitchells Plain, Cape Town"
Eben Donges Hospital Primary Health Care Clinic,"Worcester, Breede Valley"
Ebenhaezer Satellite Clinic,"Lutzville, Matzikama"
Eikendal Clinic,"Kraaifontein, Cape Town"
Elandsbaai Satellite Clinic,"Elands Bay, Cederberg"
Elim Clinic,"Bredasdorp, Cape Agulhas"
Elsies River Clinic,"Elsies River, Cape Town"
Elsies River Community Health Clinic,"Elsies River, Cape Town"
Empilisweni Clinic,"Harare, Cape Town"
Empilisweni Community Health Clinic,"Worcester, Breede Valley"
Eyethu Clinic,"Mossel Bay , Eden"
Factreton Clinic,"Kensington, Cape Town"
Fagan Street Clinic,"The Strand, Cape Town"
Fish Hoek Clinic,"Fish Hoek, Cape Town"
Franschhoek Satellite Clinic,"Franschhoek, Stellenbosch"
Friemersheim Clinic,"Groot-Brakrivier, Mossel Bay"
