Beaufort West Hospital,"Beaufort West, Central Karoo"
Booth Memorial Hospital,"Oranjezicht, Cape Town"
Caledon Hospital,"Caledon, Theewaterskloof"
Ceres Hospital,"Ceres, Witzenberg"
Citrusdal Hospital,"Citrusdal, Cederberg"
Clanwilliam Hospital,"Clanwilliam, Cederberg"
DP Marais SANTA Hospital,"Retreat, Cape Town"
Eerste River Hospital,"Eerste River, Cape Town"
False Bay Hospital,"Fish Hoek, Cape Town"
GF Jooste Hospital,"Manenberg, Cape Town"
Harry Comay SANTA,"George, Eden"
Helderberg Hospital,"Somerset West, Stellenbosch"
Hermanus Hospital,"Hermanus, Overstrand"
Karl Bremer Hospital,"Bellville, Cape Town"
Knysna Hospital,"Knysna Municipal Offices, Eden"
Ladismith (Alan Blyth) Hospital,"Ladismith, Kannaland"
Laingsburg Hospital,"Laingsburg, Central Karoo"
Lapa Munnik Hospital,"Porterville, Bergrivier"
Life Esidimeni Conradie Care Centre,"Mitchells Plain, Cape Town"
Maitland Cottage Home,"Newlands, Cape Town"
Montague Hospital,"Montagu, Breede River Winelands"
Mossel Bay Hospital,"Mossel Bay , Eden"
Murraysburg Hospital,"Murraysburg, WCDMA05"
Otto Du Plessis Hospital,"Bredasdorp, Cape Agulhas"
Oudtshoorn Hospital,"Oudtshoorn, Eden"
Prince Albert Hospital,"Prince Albert, Central Karoo"
Radie Kotze Hospital,"Piketberg, Bergrivier"
Riversdale Hospital,"Riversdale, Langeberg"
Robertson Hospital,"Robertson, Breede River Winelands"
Sarah Fox Hospital,"Athlone, Cape Town"
St. Joseph's Home,"Vredenburg, Saldanha Bay"
Stellenbosch Hospital,"Stellenbosch, Boland"
Swartland Hospital,"Malmesbury, Swartland"
Swellendam Hospital,"Swellendam, Overberg"
Uniondale Hospital,"Uniondale, WCDMA04"
Victoria Hospital,"Wynberg, Cape Town"
Vredenburg Hospital,"Vredenburg, Saldanha Bay"
Vredendal Hospital,"Vredendal, Matzikama"
Wesfleur Hospital,"Atlantis, Cape Town"
